"","Survived","Pclass","Sex","Age","NSibSp","NParch","Embarked","Title","Cabin1","Cost"
"1","0","3","male",22,"1","0","S","Mr","0","cheap"
"2","1","1","female",38,"1","0","C","Mr","1","exp"
"3","1","3","female",26,"0","0","S","Miss","0","cheap"
"4","1","1","female",35,"1","0","S","Mr","1","medium"
"5","0","3","male",35,"0","0","S","Mr","0","cheap"
"6","0","3","male",NA,"0","0","Q","Mr","0","cheap"
"7","0","1","male",54,"0","0","S","Mr","1","medium"
"8","0","3","male",2,"2","1","S","Other","0","cheap"
"9","1","3","female",27,"0","2","S","Mr","0","cheap"
"10","1","2","female",14,"1","0","C","Mr","0","cheap"
"11","1","3","female",4,"1","1","S","Miss","1","cheap"
"12","1","1","female",58,"0","0","S","Miss","1","cheap"
"13","0","3","male",20,"0","0","S","Mr","0","cheap"
"14","0","3","male",39,"1","3","S","Mr","0","cheap"
"15","0","3","female",14,"0","0","S","Miss","0","cheap"
"16","1","2","female",55,"0","0","S","Mr","0","cheap"
"17","0","3","male",2,"2","1","Q","Other","0","cheap"
"18","1","2","male",NA,"0","0","S","Mr","0","cheap"
"19","0","3","female",31,"1","0","S","Mr","0","cheap"
"20","1","3","female",NA,"0","0","C","Mr","0","cheap"
"21","0","2","male",35,"0","0","S","Mr","0","cheap"
"22","1","2","male",34,"0","0","S","Mr","1","cheap"
"23","1","3","female",15,"0","0","Q","Miss","0","cheap"
"24","1","1","male",28,"0","0","S","Mr","1","cheap"
"25","0","3","female",8,"2","1","S","Miss","0","cheap"
"26","1","3","female",38,"1","3","S","Mr","0","cheap"
"27","0","3","male",NA,"0","0","C","Mr","0","cheap"
"28","0","1","male",19,"2","2","S","Mr","1","exp"
"29","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"30","0","3","male",NA,"0","0","S","Mr","0","cheap"
"31","0","1","male",40,"0","0","C","Other","0","cheap"
"32","1","1","female",NA,"1","0","C","Mr","1","exp"
"33","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"34","0","2","male",66,"0","0","S","Mr","0","cheap"
"35","0","1","male",28,"1","0","C","Mr","0","exp"
"36","0","1","male",42,"1","0","S","Mr","0","medium"
"37","1","3","male",NA,"0","0","C","Mr","0","cheap"
"38","0","3","male",21,"0","0","S","Mr","0","cheap"
"39","0","3","female",18,"2","0","S","Miss","0","cheap"
"40","1","3","female",14,"1","0","C","Miss","0","cheap"
"41","0","3","female",40,"1","0","S","Mr","0","cheap"
"42","0","2","female",27,"1","0","S","Mr","0","cheap"
"43","0","3","male",NA,"0","0","C","Mr","0","cheap"
"44","1","2","female",3,"1","2","C","Miss","0","medium"
"45","1","3","female",19,"0","0","Q","Miss","0","cheap"
"46","0","3","male",NA,"0","0","S","Mr","0","cheap"
"47","0","3","male",NA,"1","0","Q","Mr","0","cheap"
"48","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"49","0","3","male",NA,"2","0","C","Mr","0","cheap"
"50","0","3","female",18,"1","0","S","Mr","0","cheap"
"51","0","3","male",7,"2","1","S","Other","0","cheap"
"52","0","3","male",21,"0","0","S","Mr","0","cheap"
"53","1","1","female",49,"1","0","C","Mr","1","exp"
"54","1","2","female",29,"1","0","S","Mr","0","cheap"
"55","0","1","male",65,"0","1","C","Mr","1","exp"
"56","1","1","male",NA,"0","0","S","Mr","1","cheap"
"57","1","2","female",21,"0","0","S","Miss","0","cheap"
"58","0","3","male",28.5,"0","0","C","Mr","0","cheap"
"59","1","2","female",5,"1","2","S","Miss","0","cheap"
"60","0","3","male",11,"2","2","S","Other","0","medium"
"61","0","3","male",22,"0","0","C","Mr","0","cheap"
"62","1","1","female",38,"0","0","C","Miss","1","exp"
"63","0","1","male",45,"1","0","S","Mr","1","exp"
"64","0","3","male",4,"2","2","S","Other","0","cheap"
"65","0","1","male",NA,"0","0","C","Mr","0","cheap"
"66","1","3","male",NA,"1","1","C","Other","0","cheap"
"67","1","2","female",29,"0","0","S","Mr","1","cheap"
"68","0","3","male",19,"0","0","S","Mr","0","cheap"
"69","1","3","female",17,"2","2","S","Miss","0","cheap"
"70","0","3","male",26,"2","0","S","Mr","0","cheap"
"71","0","2","male",32,"0","0","S","Mr","0","cheap"
"72","0","3","female",16,"2","2","S","Miss","0","medium"
"73","0","2","male",21,"0","0","S","Mr","0","exp"
"74","0","3","male",26,"1","0","C","Mr","0","cheap"
"75","1","3","male",32,"0","0","S","Mr","0","medium"
"76","0","3","male",25,"0","0","S","Mr","1","cheap"
"77","0","3","male",NA,"0","0","S","Mr","0","cheap"
"78","0","3","male",NA,"0","0","S","Mr","0","cheap"
"79","1","2","male",0.83,"0","2","S","Other","0","cheap"
"80","1","3","female",30,"0","0","S","Miss","0","cheap"
"81","0","3","male",22,"0","0","S","Mr","0","cheap"
"82","1","3","male",29,"0","0","S","Mr","0","cheap"
"83","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"84","0","1","male",28,"0","0","S","Mr","0","medium"
"85","1","2","female",17,"0","0","S","Miss","0","cheap"
"86","1","3","female",33,"2","0","S","Mr","0","cheap"
"87","0","3","male",16,"1","3","S","Mr","0","cheap"
"88","0","3","male",NA,"0","0","S","Mr","0","cheap"
"89","1","1","female",23,"2","2","S","Miss","1","exp"
"90","0","3","male",24,"0","0","S","Mr","0","cheap"
"91","0","3","male",29,"0","0","S","Mr","0","cheap"
"92","0","3","male",20,"0","0","S","Mr","0","cheap"
"93","0","1","male",46,"1","0","S","Mr","1","exp"
"94","0","3","male",26,"1","2","S","Mr","0","cheap"
"95","0","3","male",59,"0","0","S","Mr","0","cheap"
"96","0","3","male",NA,"0","0","S","Mr","0","cheap"
"97","0","1","male",71,"0","0","C","Mr","1","cheap"
"98","1","1","male",23,"0","1","C","Mr","1","exp"
"99","1","2","female",34,"0","1","S","Mr","0","cheap"
"100","0","2","male",34,"1","0","S","Mr","0","cheap"
"101","0","3","female",28,"0","0","S","Miss","0","cheap"
"102","0","3","male",NA,"0","0","S","Mr","0","cheap"
"103","0","1","male",21,"0","1","S","Mr","1","exp"
"104","0","3","male",33,"0","0","S","Mr","0","cheap"
"105","0","3","male",37,"2","0","S","Mr","0","cheap"
"106","0","3","male",28,"0","0","S","Mr","0","cheap"
"107","1","3","female",21,"0","0","S","Miss","0","cheap"
"108","1","3","male",NA,"0","0","S","Mr","0","cheap"
"109","0","3","male",38,"0","0","S","Mr","0","cheap"
"110","1","3","female",NA,"1","0","Q","Miss","0","cheap"
"111","0","1","male",47,"0","0","S","Mr","1","medium"
"112","0","3","female",14.5,"1","0","C","Miss","0","cheap"
"113","0","3","male",22,"0","0","S","Mr","0","cheap"
"114","0","3","female",20,"1","0","S","Miss","0","cheap"
"115","0","3","female",17,"0","0","C","Miss","0","cheap"
"116","0","3","male",21,"0","0","S","Mr","0","cheap"
"117","0","3","male",70.5,"0","0","Q","Mr","0","cheap"
"118","0","2","male",29,"1","0","S","Mr","0","cheap"
"119","0","1","male",24,"0","1","C","Mr","1","exp"
"120","0","3","female",2,"2","2","S","Miss","0","cheap"
"121","0","2","male",21,"2","0","S","Mr","0","exp"
"122","0","3","male",NA,"0","0","S","Mr","0","cheap"
"123","0","2","male",32.5,"1","0","C","Mr","0","cheap"
"124","1","2","female",32.5,"0","0","S","Miss","1","cheap"
"125","0","1","male",54,"0","1","S","Mr","1","exp"
"126","1","3","male",12,"1","0","C","Other","0","cheap"
"127","0","3","male",NA,"0","0","Q","Mr","0","cheap"
"128","1","3","male",24,"0","0","S","Mr","0","cheap"
"129","1","3","female",NA,"1","1","C","Miss","1","cheap"
"130","0","3","male",45,"0","0","S","Mr","0","cheap"
"131","0","3","male",33,"0","0","C","Mr","0","cheap"
"132","0","3","male",20,"0","0","S","Mr","0","cheap"
"133","0","3","female",47,"1","0","S","Mr","0","cheap"
"134","1","2","female",29,"1","0","S","Mr","0","cheap"
"135","0","2","male",25,"0","0","S","Mr","0","cheap"
"136","0","2","male",23,"0","0","C","Mr","0","cheap"
"137","1","1","female",19,"0","2","S","Miss","1","cheap"
"138","0","1","male",37,"1","0","S","Mr","1","medium"
"139","0","3","male",16,"0","0","S","Mr","0","cheap"
"140","0","1","male",24,"0","0","C","Mr","1","exp"
"141","0","3","female",NA,"0","2","C","Mr","0","cheap"
"142","1","3","female",22,"0","0","S","Miss","0","cheap"
"143","1","3","female",24,"1","0","S","Mr","0","cheap"
"144","0","3","male",19,"0","0","Q","Mr","0","cheap"
"145","0","2","male",18,"0","0","S","Mr","0","cheap"
"146","0","2","male",19,"1","1","S","Mr","0","cheap"
"147","1","3","male",27,"0","0","S","Mr","0","cheap"
"148","0","3","female",9,"2","2","S","Miss","0","cheap"
"149","0","2","male",36.5,"0","2","S","Mr","1","cheap"
"150","0","2","male",42,"0","0","S","Other","0","cheap"
"151","0","2","male",51,"0","0","S","Other","0","cheap"
"152","1","1","female",22,"1","0","S","Mr","1","exp"
"153","0","3","male",55.5,"0","0","S","Mr","0","cheap"
"154","0","3","male",40.5,"0","2","S","Mr","0","cheap"
"155","0","3","male",NA,"0","0","S","Mr","0","cheap"
"156","0","1","male",51,"0","1","C","Mr","0","exp"
"157","1","3","female",16,"0","0","Q","Miss","0","cheap"
"158","0","3","male",30,"0","0","S","Mr","0","cheap"
"159","0","3","male",NA,"0","0","S","Mr","0","cheap"
"160","0","3","male",NA,"2","2","S","Other","0","exp"
"161","0","3","male",44,"0","1","S","Mr","0","cheap"
"162","1","2","female",40,"0","0","S","Mr","0","cheap"
"163","0","3","male",26,"0","0","S","Mr","0","cheap"
"164","0","3","male",17,"0","0","S","Mr","0","cheap"
"165","0","3","male",1,"2","1","S","Other","0","cheap"
"166","1","3","male",9,"0","2","S","Other","0","cheap"
"167","1","1","female",NA,"0","1","S","Mr","1","medium"
"168","0","3","female",45,"1","3","S","Mr","0","cheap"
"169","0","1","male",NA,"0","0","S","Mr","0","cheap"
"170","0","3","male",28,"0","0","S","Mr","0","medium"
"171","0","1","male",61,"0","0","S","Mr","1","cheap"
"172","0","3","male",4,"2","1","Q","Other","0","cheap"
"173","1","3","female",1,"1","1","S","Miss","0","cheap"
"174","0","3","male",21,"0","0","S","Mr","0","cheap"
"175","0","1","male",56,"0","0","C","Mr","1","cheap"
"176","0","3","male",18,"1","1","S","Mr","0","cheap"
"177","0","3","male",NA,"2","1","S","Other","0","cheap"
"178","0","1","female",50,"0","0","C","Miss","1","cheap"
"179","0","2","male",30,"0","0","S","Mr","0","cheap"
"180","0","3","male",36,"0","0","S","Mr","0","cheap"
"181","0","3","female",NA,"2","2","S","Miss","0","exp"
"182","0","2","male",NA,"0","0","C","Mr","0","cheap"
"183","0","3","male",9,"2","2","S","Other","0","cheap"
"184","1","2","male",1,"2","1","S","Other","1","cheap"
"185","1","3","female",4,"0","2","S","Miss","0","cheap"
"186","0","1","male",NA,"0","0","S","Mr","1","medium"
"187","1","3","female",NA,"1","0","Q","Mr","0","cheap"
"188","1","1","male",45,"0","0","S","Mr","0","cheap"
"189","0","3","male",40,"1","1","Q","Mr","0","cheap"
"190","0","3","male",36,"0","0","S","Mr","0","cheap"
"191","1","2","female",32,"0","0","S","Mr","0","cheap"
"192","0","2","male",19,"0","0","S","Mr","0","cheap"
"193","1","3","female",19,"1","0","S","Miss","0","cheap"
"194","1","2","male",3,"1","1","S","Other","1","cheap"
"195","1","1","female",44,"0","0","C","Mr","1","cheap"
"196","1","1","female",58,"0","0","C","Miss","1","exp"
"197","0","3","male",NA,"0","0","Q","Mr","0","cheap"
"198","0","3","male",42,"0","1","S","Mr","0","cheap"
"199","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"200","0","2","female",24,"0","0","S","Mr","0","cheap"
"201","0","3","male",28,"0","0","S","Mr","0","cheap"
"202","0","3","male",NA,"2","2","S","Mr","0","exp"
"203","0","3","male",34,"0","0","S","Mr","0","cheap"
"204","0","3","male",45.5,"0","0","C","Mr","0","cheap"
"205","1","3","male",18,"0","0","S","Mr","0","cheap"
"206","0","3","female",2,"0","1","S","Miss","1","cheap"
"207","0","3","male",32,"1","0","S","Mr","0","cheap"
"208","1","3","male",26,"0","0","C","Mr","0","cheap"
"209","1","3","female",16,"0","0","Q","Miss","0","cheap"
"210","1","1","male",40,"0","0","C","Mr","1","cheap"
"211","0","3","male",24,"0","0","S","Mr","0","cheap"
"212","1","2","female",35,"0","0","S","Miss","0","cheap"
"213","0","3","male",22,"0","0","S","Mr","0","cheap"
"214","0","2","male",30,"0","0","S","Mr","0","cheap"
"215","0","3","male",NA,"1","0","Q","Mr","0","cheap"
"216","1","1","female",31,"1","0","C","Miss","1","exp"
"217","1","3","female",27,"0","0","S","Miss","0","cheap"
"218","0","2","male",42,"1","0","S","Mr","0","cheap"
"219","1","1","female",32,"0","0","C","Miss","1","exp"
"220","0","2","male",30,"0","0","S","Mr","0","cheap"
"221","1","3","male",16,"0","0","S","Mr","0","cheap"
"222","0","2","male",27,"0","0","S","Mr","0","cheap"
"223","0","3","male",51,"0","0","S","Mr","0","cheap"
"224","0","3","male",NA,"0","0","S","Mr","0","cheap"
"225","1","1","male",38,"1","0","S","Mr","1","exp"
"226","0","3","male",22,"0","0","S","Mr","0","cheap"
"227","1","2","male",19,"0","0","S","Mr","0","cheap"
"228","0","3","male",20.5,"0","0","S","Mr","0","cheap"
"229","0","2","male",18,"0","0","S","Mr","0","cheap"
"230","0","3","female",NA,"2","1","S","Miss","0","cheap"
"231","1","1","female",35,"1","0","S","Mr","1","exp"
"232","0","3","male",29,"0","0","S","Mr","0","cheap"
"233","0","2","male",59,"0","0","S","Mr","0","cheap"
"234","1","3","female",5,"2","2","S","Miss","0","cheap"
"235","0","2","male",24,"0","0","S","Mr","0","cheap"
"236","0","3","female",NA,"0","0","S","Miss","0","cheap"
"237","0","2","male",44,"1","0","S","Mr","0","cheap"
"238","1","2","female",8,"0","2","S","Miss","0","cheap"
"239","0","2","male",19,"0","0","S","Mr","0","cheap"
"240","0","2","male",33,"0","0","S","Mr","0","cheap"
"241","0","3","female",NA,"1","0","C","Miss","0","cheap"
"242","1","3","female",NA,"1","0","Q","Miss","0","cheap"
"243","0","2","male",29,"0","0","S","Mr","0","cheap"
"244","0","3","male",22,"0","0","S","Mr","0","cheap"
"245","0","3","male",30,"0","0","C","Mr","0","cheap"
"246","0","1","male",44,"2","0","Q","Other","1","exp"
"247","0","3","female",25,"0","0","S","Miss","0","cheap"
"248","1","2","female",24,"0","2","S","Mr","0","cheap"
"249","1","1","male",37,"1","1","S","Mr","1","medium"
"250","0","2","male",54,"1","0","S","Other","0","cheap"
"251","0","3","male",NA,"0","0","S","Mr","0","cheap"
"252","0","3","female",29,"1","1","S","Mr","1","cheap"
"253","0","1","male",62,"0","0","S","Mr","1","cheap"
"254","0","3","male",30,"1","0","S","Mr","0","cheap"
"255","0","3","female",41,"0","2","S","Mr","0","cheap"
"256","1","3","female",29,"0","2","C","Mr","0","cheap"
"257","1","1","female",NA,"0","0","C","Mr","0","exp"
"258","1","1","female",30,"0","0","S","Miss","1","exp"
"259","1","1","female",35,"0","0","C","Miss","0","exp"
"260","1","2","female",50,"0","1","S","Mr","0","cheap"
"261","0","3","male",NA,"0","0","Q","Mr","0","cheap"
"262","1","3","male",3,"2","2","S","Other","0","cheap"
"263","0","1","male",52,"1","1","S","Mr","1","exp"
"264","0","1","male",40,"0","0","S","Mr","1","cheap"
"265","0","3","female",NA,"0","0","Q","Miss","0","cheap"
"266","0","2","male",36,"0","0","S","Mr","0","cheap"
"267","0","3","male",16,"2","1","S","Mr","0","cheap"
"268","1","3","male",25,"1","0","S","Mr","0","cheap"
"269","1","1","female",58,"0","1","S","Mr","1","exp"
"270","1","1","female",35,"0","0","S","Miss","1","exp"
"271","0","1","male",NA,"0","0","S","Mr","0","cheap"
"272","1","3","male",25,"0","0","S","Mr","0","cheap"
"273","1","2","female",41,"0","1","S","Mr","0","cheap"
"274","0","1","male",37,"0","1","C","Mr","1","cheap"
"275","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"276","1","1","female",63,"1","0","S","Miss","1","exp"
"277","0","3","female",45,"0","0","S","Miss","0","cheap"
"278","0","2","male",NA,"0","0","S","Mr","0","cheap"
"279","0","3","male",7,"2","1","Q","Other","0","cheap"
"280","1","3","female",35,"1","1","S","Mr","0","cheap"
"281","0","3","male",65,"0","0","Q","Mr","0","cheap"
"282","0","3","male",28,"0","0","S","Mr","0","cheap"
"283","0","3","male",16,"0","0","S","Mr","0","cheap"
"284","1","3","male",19,"0","0","S","Mr","0","cheap"
"285","0","1","male",NA,"0","0","S","Mr","1","cheap"
"286","0","3","male",33,"0","0","C","Mr","0","cheap"
"287","1","3","male",30,"0","0","S","Mr","0","cheap"
"288","0","3","male",22,"0","0","S","Mr","0","cheap"
"289","1","2","male",42,"0","0","S","Mr","0","cheap"
"290","1","3","female",22,"0","0","Q","Miss","0","cheap"
"291","1","1","female",26,"0","0","S","Miss","0","exp"
"292","1","1","female",19,"1","0","C","Mr","1","exp"
"293","0","2","male",36,"0","0","C","Mr","1","cheap"
"294","0","3","female",24,"0","0","S","Miss","0","cheap"
"295","0","3","male",24,"0","0","S","Mr","0","cheap"
"296","0","1","male",NA,"0","0","C","Mr","0","cheap"
"297","0","3","male",23.5,"0","0","C","Mr","0","cheap"
"298","0","1","female",2,"1","2","S","Miss","1","exp"
"299","1","1","male",NA,"0","0","S","Mr","1","cheap"
"300","1","1","female",50,"0","1","C","Mr","1","exp"
"301","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"302","1","3","male",NA,"2","0","Q","Mr","0","cheap"
"303","0","3","male",19,"0","0","S","Mr","0","cheap"
"304","1","2","female",NA,"0","0","Q","Miss","1","cheap"
"305","0","3","male",NA,"0","0","S","Mr","0","cheap"
"306","1","1","male",0.92,"1","2","S","Other","1","exp"
"307","1","1","female",NA,"0","0","C","Miss","0","exp"
"308","1","1","female",17,"1","0","C","Mr","1","exp"
"309","0","2","male",30,"1","0","C","Mr","0","cheap"
"310","1","1","female",30,"0","0","C","Miss","1","medium"
"311","1","1","female",24,"0","0","C","Miss","1","exp"
"312","1","1","female",18,"2","2","C","Miss","1","exp"
"313","0","2","female",26,"1","1","S","Mr","0","cheap"
"314","0","3","male",28,"0","0","S","Mr","0","cheap"
"315","0","2","male",43,"1","1","S","Mr","0","cheap"
"316","1","3","female",26,"0","0","S","Miss","0","cheap"
"317","1","2","female",24,"1","0","S","Mr","0","cheap"
"318","0","2","male",54,"0","0","S","Other","0","cheap"
"319","1","1","female",31,"0","2","S","Miss","1","exp"
"320","1","1","female",40,"1","1","C","Mr","1","exp"
"321","0","3","male",22,"0","0","S","Mr","0","cheap"
"322","0","3","male",27,"0","0","S","Mr","0","cheap"
"323","1","2","female",30,"0","0","Q","Miss","0","cheap"
"324","1","2","female",22,"1","1","S","Mr","0","cheap"
"325","0","3","male",NA,"2","2","S","Mr","0","exp"
"326","1","1","female",36,"0","0","C","Miss","1","exp"
"327","0","3","male",61,"0","0","S","Mr","0","cheap"
"328","1","2","female",36,"0","0","S","Mr","1","cheap"
"329","1","3","female",31,"1","1","S","Mr","0","cheap"
"330","1","1","female",16,"0","1","C","Miss","1","medium"
"331","1","3","female",NA,"2","0","Q","Miss","0","cheap"
"332","0","1","male",45.5,"0","0","S","Mr","1","cheap"
"333","0","1","male",38,"0","1","S","Mr","1","exp"
"334","0","3","male",16,"2","0","S","Mr","0","cheap"
"335","1","1","female",NA,"1","0","S","Mr","0","exp"
"336","0","3","male",NA,"0","0","S","Mr","0","cheap"
"337","0","1","male",29,"1","0","S","Mr","1","exp"
"338","1","1","female",41,"0","0","C","Miss","1","exp"
"339","1","3","male",45,"0","0","S","Mr","0","cheap"
"340","0","1","male",45,"0","0","S","Mr","1","cheap"
"341","1","2","male",2,"1","1","S","Other","1","cheap"
"342","1","1","female",24,"2","2","S","Miss","1","exp"
"343","0","2","male",28,"0","0","S","Mr","0","cheap"
"344","0","2","male",25,"0","0","S","Mr","0","cheap"
"345","0","2","male",36,"0","0","S","Mr","0","cheap"
"346","1","2","female",24,"0","0","S","Miss","1","cheap"
"347","1","2","female",40,"0","0","S","Miss","0","cheap"
"348","1","3","female",NA,"1","0","S","Mr","0","cheap"
"349","1","3","male",3,"1","1","S","Other","0","cheap"
"350","0","3","male",42,"0","0","S","Mr","0","cheap"
"351","0","3","male",23,"0","0","S","Mr","0","cheap"
"352","0","1","male",NA,"0","0","S","Mr","1","cheap"
"353","0","3","male",15,"1","1","C","Mr","0","cheap"
"354","0","3","male",25,"1","0","S","Mr","0","cheap"
"355","0","3","male",NA,"0","0","C","Mr","0","cheap"
"356","0","3","male",28,"0","0","S","Mr","0","cheap"
"357","1","1","female",22,"0","1","S","Miss","1","medium"
"358","0","2","female",38,"0","0","S","Miss","0","cheap"
"359","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"360","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"361","0","3","male",40,"1","3","S","Mr","0","cheap"
"362","0","2","male",29,"1","0","C","Mr","0","cheap"
"363","0","3","female",45,"0","1","C","Mr","0","cheap"
"364","0","3","male",35,"0","0","S","Mr","0","cheap"
"365","0","3","male",NA,"1","0","Q","Mr","0","cheap"
"366","0","3","male",30,"0","0","S","Mr","0","cheap"
"367","1","1","female",60,"1","0","C","Mr","1","exp"
"368","1","3","female",NA,"0","0","C","Mr","0","cheap"
"369","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"370","1","1","female",24,"0","0","C","Other","1","exp"
"371","1","1","male",25,"1","0","C","Mr","1","medium"
"372","0","3","male",18,"1","0","S","Mr","0","cheap"
"373","0","3","male",19,"0","0","S","Mr","0","cheap"
"374","0","1","male",22,"0","0","C","Mr","0","exp"
"375","0","3","female",3,"2","1","S","Miss","0","cheap"
"376","1","1","female",NA,"1","0","C","Mr","0","exp"
"377","1","3","female",22,"0","0","S","Miss","0","cheap"
"378","0","1","male",27,"0","2","C","Mr","1","exp"
"379","0","3","male",20,"0","0","C","Mr","0","cheap"
"380","0","3","male",19,"0","0","S","Mr","0","cheap"
"381","1","1","female",42,"0","0","C","Miss","0","exp"
"382","1","3","female",1,"0","2","C","Miss","0","cheap"
"383","0","3","male",32,"0","0","S","Mr","0","cheap"
"384","1","1","female",35,"1","0","S","Mr","0","medium"
"385","0","3","male",NA,"0","0","S","Mr","0","cheap"
"386","0","2","male",18,"0","0","S","Mr","0","exp"
"387","0","3","male",1,"2","2","S","Other","0","medium"
"388","1","2","female",36,"0","0","S","Miss","0","cheap"
"389","0","3","male",NA,"0","0","Q","Mr","0","cheap"
"390","1","2","female",17,"0","0","C","Miss","0","cheap"
"391","1","1","male",36,"1","2","S","Mr","1","exp"
"392","1","3","male",21,"0","0","S","Mr","0","cheap"
"393","0","3","male",28,"2","0","S","Mr","0","cheap"
"394","1","1","female",23,"1","0","C","Miss","1","exp"
"395","1","3","female",24,"0","2","S","Mr","1","cheap"
"396","0","3","male",22,"0","0","S","Mr","0","cheap"
"397","0","3","female",31,"0","0","S","Miss","0","cheap"
"398","0","2","male",46,"0","0","S","Mr","0","cheap"
"399","0","2","male",23,"0","0","S","Other","0","cheap"
"400","1","2","female",28,"0","0","S","Mr","0","cheap"
"401","1","3","male",39,"0","0","S","Mr","0","cheap"
"402","0","3","male",26,"0","0","S","Mr","0","cheap"
"403","0","3","female",21,"1","0","S","Miss","0","cheap"
"404","0","3","male",28,"1","0","S","Mr","0","cheap"
"405","0","3","female",20,"0","0","S","Miss","0","cheap"
"406","0","2","male",34,"1","0","S","Mr","0","cheap"
"407","0","3","male",51,"0","0","S","Mr","0","cheap"
"408","1","2","male",3,"1","1","S","Other","0","cheap"
"409","0","3","male",21,"0","0","S","Mr","0","cheap"
"410","0","3","female",NA,"2","1","S","Miss","0","cheap"
"411","0","3","male",NA,"0","0","S","Mr","0","cheap"
"412","0","3","male",NA,"0","0","Q","Mr","0","cheap"
"413","1","1","female",33,"1","0","Q","Miss","1","exp"
"414","0","2","male",NA,"0","0","S","Mr","0","cheap"
"415","1","3","male",44,"0","0","S","Mr","0","cheap"
"416","0","3","female",NA,"0","0","S","Mr","0","cheap"
"417","1","2","female",34,"1","1","S","Mr","0","cheap"
"418","1","2","female",18,"0","2","S","Miss","0","cheap"
"419","0","2","male",30,"0","0","S","Mr","0","cheap"
"420","0","3","female",10,"0","2","S","Miss","0","cheap"
"421","0","3","male",NA,"0","0","C","Mr","0","cheap"
"422","0","3","male",21,"0","0","Q","Mr","0","cheap"
"423","0","3","male",29,"0","0","S","Mr","0","cheap"
"424","0","3","female",28,"1","1","S","Mr","0","cheap"
"425","0","3","male",18,"1","1","S","Mr","0","cheap"
"426","0","3","male",NA,"0","0","S","Mr","0","cheap"
"427","1","2","female",28,"1","0","S","Mr","0","cheap"
"428","1","2","female",19,"0","0","S","Mr","0","cheap"
"429","0","3","male",NA,"0","0","Q","Mr","0","cheap"
"430","1","3","male",32,"0","0","S","Mr","1","cheap"
"431","1","1","male",28,"0","0","S","Mr","1","cheap"
"432","1","3","female",NA,"1","0","S","Mr","0","cheap"
"433","1","2","female",42,"1","0","S","Mr","0","cheap"
"434","0","3","male",17,"0","0","S","Mr","0","cheap"
"435","0","1","male",50,"1","0","S","Mr","1","medium"
"436","1","1","female",14,"1","2","S","Miss","1","exp"
"437","0","3","female",21,"2","2","S","Miss","0","cheap"
"438","1","2","female",24,"2","3","S","Mr","0","cheap"
"439","0","1","male",64,"1","3","S","Mr","1","exp"
"440","0","2","male",31,"0","0","S","Mr","0","cheap"
"441","1","2","female",45,"1","1","S","Mr","0","cheap"
"442","0","3","male",20,"0","0","S","Mr","0","cheap"
"443","0","3","male",25,"1","0","S","Mr","0","cheap"
"444","1","2","female",28,"0","0","S","Other","0","cheap"
